part,sortorder,field1,field2,field3,field4,field5,field6,field7,field8,field9,field10,field11,field12,field13,field14,field15,field16,field17,field18,field19,field20
A,1.5,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,27,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,27,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,27,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,27,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,27,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,40,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,40,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,40,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,40,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,40,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,51.0401,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,51.0401,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,51.1201,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,51.1201,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,52,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,52,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,52,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A,1.5,52,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,3,null,1,5,2,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,10,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,2,6,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,9,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,22,2,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,21,3,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,7,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,14,148,64,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,17,19,14,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,3,2,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,1,1,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,18,14,7,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,19,5,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,4,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,8,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,6,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,15,54,15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,16,29,20,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,20,5,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,1,13,44,28,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,16,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,8,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,14,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,13,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,3,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,19,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,10,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,7,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,21,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,1,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,20,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,9,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,5,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,2,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,17,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,6,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,22,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,15,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,4,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
B,3,null,3,18,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,1,1,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,5,1,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,12,3,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,13,2,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,16,4,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,26,1,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,28,2,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,29,2,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,31,1,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,35,1,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,36,1,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,39,1,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,42,12,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,44,1,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,47,11,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,48,5,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
C,4,null,57,13,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
D,5,null,67,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
E,6,null,1,1,1,1,1,1,1,1,null,null,null,null,null,null,null,null,null,null,null
F,7,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
G,2,null,1,8,115,8,0,0,8,null,null,null,null,null,null,null,null,null,null,null,null
G,2,null,2,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null
G,2,null,3,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null
